,mean_2,var_2,og_var_2,p_val_2,mean_3,var_3,og_var_3,p_val_3,mc_type
hubers,6.051797925934489,0.024375736744125277,4.373475797432456,1.0,8.911236288093237,0.027910681014574387,6.174335782237927,1.0,min_max
norm,0.06641038568212712,2.2843854516884754e-05,0.07205907682068978,0.13373253493013973,0.07049205717784128,1.4191501264913982e-05,0.07484548631561713,0.13373253493013973,min_max
tss,5603.4880528452095,34136.195337866884,2505.5432030679203,1.0,4522.57836579902,24796.207472174337,1824.945357129551,1.0,min_max
hubers,4.195129630820947,0.006788091653118807,4.373475797432456,0.003992015968063872,6.1759055082550836,0.004276199247406266,6.174335782237927,0.6087824351297405,random_order
norm,0.07510185930198009,3.796434407810857e-05,0.07205907682068978,0.6826347305389222,0.07973785434608396,2.8438658527770052e-05,0.07484548631561713,0.8323353293413174,random_order
tss,2767.5138916691626,1142.0233732568556,2505.5432030679203,1.0,2263.258263974998,1198.5273082532663,1824.945357129551,1.0,random_order
hubers,4.267999887239407,0.03639097293137831,4.373475797432456,0.27944111776447106,6.205316965531074,0.05123792015568121,6.174335782237927,0.5449101796407185,pca_trans
norm,0.06643394103588554,5.400779416763361e-05,0.07205907682068978,0.21157684630738524,0.06766388258095066,3.892561115833679e-05,0.07484548631561713,0.12574850299401197,pca_trans
tss,2519.031265250288,28319.840664363346,2505.5432030679203,0.4930139720558882,1835.4742148914343,15988.31966836583,1824.945357129551,0.5229540918163673,pca_trans
hubers,5.525764673659989,0.016984536528877194,3.9821758849697684,1.0,8.091449335520943,0.024606557705339586,5.749739222171909,1.0,min_max
norm,0.07704872014429816,3.4958181496320516e-05,0.09328415444748747,0.005988023952095809,0.07846665756776695,1.7764499428935306e-05,0.08285839153835753,0.15169660678642716,min_max
tss,4564.8899587803035,20449.006743930913,1982.4029572800828,1.0,3687.54332642788,14573.639311561341,1480.146202385798,1.0,min_max
hubers,3.8282514119731608,0.014146884792985951,3.9821758849697684,0.01996007984031936,5.726118822822666,0.002960125570354677,5.749739222171909,0.37524950099800397,random_order
norm,0.08464564893497212,5.198930372470944e-05,0.09328415444748747,0.12974051896207583,0.08351683225239881,3.50684318890935e-05,0.08285839153835753,0.530938123752495,random_order
tss,2348.339267528042,447.0025070977824,1982.4029572800828,1.0,1927.2628492710478,758.2303537771767,1480.146202385798,1.0,random_order
hubers,4.007386059812021,0.04244650228383085,3.9821758849697684,0.5688622754491018,5.715681214625647,0.048657914969783944,5.749739222171909,0.4590818363273453,pca_trans
norm,0.08023469271948266,8.63995373222559e-05,0.09328415444748747,0.08383233532934131,0.07271609624742006,4.3768056002676846e-05,0.08285839153835753,0.06786427145708583,pca_trans
tss,1990.7534231485836,19973.6004445728,1982.4029572800828,0.5069860279441117,1472.3492840054882,10595.196141380471,1480.146202385798,0.4590818363273453,pca_trans
hubers,5.931896551623277,0.024421899043717707,4.364206787312306,1.0,8.714713188123413,0.028760646910713082,6.255093211024529,1.0,min_max
norm,0.07290051970810335,4.054129004119906e-05,0.08394234123210252,0.05788423153692615,0.07253388009513156,1.5530255906311226e-05,0.08090223714481327,0.015968063872255488,min_max
tss,5453.5042961419595,43399.500801108035,2307.230672557591,1.0,4558.33611719827,38746.23901231725,1629.3667784486856,1.0,min_max
hubers,4.0572989252351785,0.019261812017259055,4.364206787312306,0.001996007984031936,6.035710765475613,0.008303398757297669,6.255093211024529,0.001996007984031936,random_order
norm,0.07171316085368795,4.0287583436539426e-05,0.08394234123210252,0.029940119760479042,0.078169214404948,3.474577482198049e-05,0.08090223714481327,0.31736526946107785,random_order
tss,2715.0483191761905,6877.435193747276,2307.230672557591,1.0,2258.1505359792477,7637.829463925227,1629.3667784486856,1.0,random_order
hubers,4.219431221683461,0.03831267006205402,4.364206787312306,0.2315369261477046,6.081122878919492,0.049009980562375134,6.255093211024529,0.2215568862275449,pca_trans
norm,0.06956543106178376,6.168320189369877e-05,0.08394234123210252,0.031936127744510975,0.06854710018680055,3.990488361989265e-05,0.08090223714481327,0.04590818363273453,pca_trans
tss,2310.9237478079513,26236.544914411275,2307.230672557591,0.5049900199600799,1638.4540428289365,14334.879312155452,1629.3667784486856,0.5329341317365269,pca_trans
hubers,6.288759042820542,0.026888805911846045,4.416426652131158,1.0,9.22439293204389,0.037940815318404285,6.424114288171047,1.0,min_max
norm,0.06831749651400353,3.732900978983159e-05,0.05574372789605945,0.9800399201596807,0.06876180861963269,1.527588493056549e-05,0.05701431915531727,0.998003992015968,min_max
tss,6036.106583592507,64628.4632922215,2779.789991457372,1.0,4980.01733501438,58197.307620702326,2054.7826271737226,1.0,min_max
