,index,mean_2,var_2,og_var_2,p_val_2,mean_3,var_3,og_var_3,p_val_3,mean_4,var_4,og_var_4,p_val_4,mean_5,var_5,og_var_5,p_val_5,mean_6,var_6,og_var_6,p_val_6,mc_type,k,n,feat,noise,sep
0,hubers,6.4331950737157975,0.025116400053366347,4.127507777250111,1.0,8.45231929111276,0.02972208791858952,5.300604151260861,1.0,9.453098215424143,0.02966651579296068,6.030173478624332,1.0,10.035058553816798,0.030099562886189132,6.324499906525008,1.0,10.410657711254396,0.030266964089830907,6.5873806503277725,1.0,min_max,2,100,10,0,0.5
1,norm,0.07110610610578622,2.9239134529482097e-05,0.06336953563517465,0.9341317365269461,0.07557935797207298,2.09270561354269e-05,0.07800322614039115,0.3013972055888224,0.07164565419245071,1.5991375674575358e-05,0.06775894726128347,0.8283433133732535,0.06632906491080527,1.2367460123626561e-05,0.06526468082040741,0.6147704590818364,0.061434333301501894,9.253139628961658e-06,0.05955089925733864,0.7405189620758483,min_max,2,100,10,0,0.5
2,tss,6420.587774102588,36885.13784767103,2587.6626521424614,1.0,5797.460290518911,29653.769877033672,2254.274792991377,1.0,5365.077218621945,25909.831036146577,2065.398652792378,1.0,5035.9271495471985,23649.151504975183,1910.891359055448,1.0,4765.4027904999675,21719.81359459594,1780.7385209720667,1.0,min_max,2,100,10,0,0.5
3,hubers,4.012664622493902,0.014639250590731432,4.127507777250111,0.023952095808383235,5.341387827614093,0.0066873274472677635,5.300604151260861,0.7844311377245509,5.984431204038176,0.005720894116051801,6.030173478624332,0.313373253493014,6.359023133130986,0.0036684276888114924,6.324499906525008,0.7724550898203593,6.59720614956451,0.003663286332771793,6.5873806503277725,0.6586826347305389,random_order,2,100,10,0,0.5
4,norm,0.06770089372540967,4.227183498917749e-05,0.06336953563517465,0.7345309381237525,0.0759495635134008,4.078928793100969e-05,0.07800322614039115,0.3772455089820359,0.0740592873045886,3.747969421094156e-05,0.06775894726128347,0.8502994011976048,0.07020052756477864,3.1294541720085276e-05,0.06526468082040741,0.8063872255489022,0.06659472761343622,2.783651947482016e-05,0.05955089925733864,0.8962075848303394,random_order,2,100,10,0,0.5
5,tss,2739.7913197165326,435.55770737211685,2587.6626521424614,1.0,2500.8547240738044,588.2058954913842,2254.274792991377,1.0,2326.1748973077665,712.5881785491254,2065.398652792378,1.0,2191.7589455588145,842.9588197004167,1910.891359055448,1.0,2078.3755998999077,895.5034829852627,1780.7385209720667,1.0,random_order,2,100,10,0,0.5
6,hubers,4.110330490249122,0.03174114563065608,4.127507777250111,0.47105788423153694,5.412897246702553,0.03186643583104686,5.300604151260861,0.7564870259481038,6.025728960257159,0.03379046238260257,6.030173478624332,0.49101796407185627,6.3817587378606255,0.036713479281673664,6.324499906525008,0.6067864271457086,6.609872046357228,0.039328322386408716,6.5873806503277725,0.5349301397205589,pca_trans,2,100,10,0,0.5
7,norm,0.08021116770968277,7.493646292941406e-05,0.06336953563517465,0.9800399201596807,0.08392007889770742,6.185028119551906e-05,0.07800322614039115,0.7704590818363274,0.0790141751533553,5.821675642196777e-05,0.06775894726128347,0.9481037924151696,0.07308690632413574,4.221775415531341e-05,0.06526468082040741,0.8802395209580839,0.06795545115408684,3.77976662317756e-05,0.05955089925733864,0.9161676646706587,pca_trans,2,100,10,0,0.5
8,tss,2519.1099755907085,17073.70464240899,2587.6626521424614,0.2714570858283433,2215.662452135153,13432.486408463856,2254.274792991377,0.34930139720558884,2014.6505374876529,11335.792706397833,2065.398652792378,0.2754491017964072,1864.4098852677503,9706.016549969028,1910.891359055448,0.3013972055888224,1744.8670463233957,8503.71632849853,1780.7385209720667,0.313373253493014,pca_trans,2,100,10,0,0.5
9,hubers,6.56691897129002,0.02507244907505725,4.684765445939654,1.0,8.61512039391712,0.026896118219896258,5.907952214003563,1.0,9.651969821499987,0.02622418228997003,6.710091064090423,1.0,10.246131292991707,0.026580321069312723,7.187654058777935,1.0,10.640394194739327,0.02782140929100082,7.45011605812168,1.0,min_max,2,100,10,0,1
