,index,mc_type,k,feat,noise,sep,Sums,acc,Total,only,acru
469,norm,min_max,5,20,0.5,1.0,0,,,0,0.44
470,tss,min_max,5,20,0.5,1.0,0,,,0,0.44
471,hubers,random_order,5,20,0.5,1.0,1,,,0,0.44
472,norm,random_order,5,20,0.5,1.0,0,,,0,0.44
473,tss,random_order,5,20,0.5,1.0,0,,,0,0.44
474,hubers,pca_trans,5,20,0.5,1.0,0,,,0,0.44
475,norm,pca_trans,5,20,0.5,1.0,0,,,0,0.44
476,tss,pca_trans,5,20,0.5,1.0,0,,,0,0.44
477,hubers,min_max,5,20,0.5,3.0,0,,,0,0.99
478,norm,min_max,5,20,0.5,3.0,3,tp,1.0,0,0.99
479,tss,min_max,5,20,0.5,3.0,0,,,0,0.99
480,hubers,random_order,5,20,0.5,3.0,5,tp,1.0,0,0.99
481,norm,random_order,5,20,0.5,3.0,0,,,0,0.99
482,tss,random_order,5,20,0.5,3.0,0,,,0,0.99
483,hubers,pca_trans,5,20,0.5,3.0,0,,,0,0.99
484,norm,pca_trans,5,20,0.5,3.0,5,tp,1.0,0,0.99
485,tss,pca_trans,5,20,0.5,3.0,0,,,0,0.99
