,index,mean_2,var_2,og_var_2,p_val_2,mean_3,var_3,og_var_3,p_val_3,mean_4,var_4,og_var_4,p_val_4,mean_5,var_5,og_var_5,p_val_5,mean_6,var_6,og_var_6,p_val_6,mc_type,k,n,feat,noise,sep
153,hubers,8.873460136727585,0.054334221698380966,8.18853408623073,0.9940119760479041,11.583373558164698,0.062131166568009814,10.649457598233356,1.0,12.965395689085017,0.06998690628365398,11.740682108123861,1.0,13.75954009320112,0.07544189737448101,12.66198125244759,1.0,14.284039477436117,0.07455095708371992,12.813490828809599,1.0,min_max,5,100,10,0.1,3
154,norm,0.051285810324606225,2.0352486549644637e-05,0.0606147828810111,0.03792415169660679,0.05190540674109895,1.1490470545405547e-05,0.06502677540930617,0.001996007984031936,0.04910970399459913,8.352805589213753e-06,0.06436801931463047,0.001996007984031936,0.04577607969790781,6.564423614630192e-06,0.05748670084330567,0.001996007984031936,0.04251595656187848,5.199246342146524e-06,0.05298175353610498,0.001996007984031936,min_max,5,100,10,0.1,3
155,tss,11877.871868276176,221482.68062012282,6401.595782500922,1.0,10767.078051712051,208848.65677102047,4213.569901994365,1.0,9931.463579978545,197316.2847778186,2659.6522381381096,1.0,9269.699754365343,187334.47007375263,1698.5425088562406,1.0,8725.59372605699,185239.3694480859,1542.0800243820793,1.0,min_max,5,100,10,0.1,3
156,hubers,6.923379636682066,0.5531350479277911,8.18853408623073,0.001996007984031936,10.040393937527844,0.02733577546818905,10.649457598233356,0.001996007984031936,11.41446279964449,0.014894797311245088,11.740682108123861,0.001996007984031936,12.146479536064106,0.01181576661118461,12.66198125244759,0.001996007984031936,12.603067720740135,0.010340603566916297,12.813490828809599,0.001996007984031936,random_order,5,100,10,0.1,3
157,norm,0.050884622347593195,3.0030832647005247e-05,0.0606147828810111,0.04790419161676647,0.05578118486662621,1.317833634347685e-05,0.06502677540930617,0.005988023952095809,0.05232766073270766,1.0925194722082764e-05,0.06436801931463047,0.003992015968063872,0.048629717435286095,9.532834051498025e-06,0.05748670084330567,0.005988023952095809,0.045426747659863,8.706840137682577e-06,0.05298175353610498,0.015968063872255488,random_order,5,100,10,0.1,3
158,tss,9654.025982748599,12652.538858756914,6401.595782500922,1.0,8659.28526365172,16072.501950792031,4213.569901994365,1.0,7966.3696299897,18865.84984822657,2659.6522381381096,1.0,7437.44046082142,19515.394670309783,1698.5425088562406,1.0,7004.193629164848,19885.071141090288,1542.0800243820793,1.0,random_order,5,100,10,0.1,3
159,hubers,7.934248765354981,0.1777486297732241,8.18853408623073,0.2714570858283433,10.074343353553289,0.21547059245581887,10.649457598233356,0.11776447105788423,11.182493909597477,0.21266054475312254,11.740682108123861,0.12574850299401197,11.796091476009893,0.22653065732689862,12.66198125244759,0.04790419161676647,12.173336628622817,0.22839189604830615,12.813490828809599,0.0998003992015968,pca_trans,5,100,10,0.1,3
160,norm,0.04115324788300048,2.0379440817870107e-05,0.0606147828810111,0.001996007984031936,0.04024081200764951,1.4986667172629751e-05,0.06502677540930617,0.001996007984031936,0.036518488466205715,1.1983181086352216e-05,0.06436801931463047,0.001996007984031936,0.03304115935285425,9.747177589618975e-06,0.05748670084330567,0.001996007984031936,0.030214020596916354,7.480572998815739e-06,0.05298175353610498,0.001996007984031936,pca_trans,5,100,10,0.1,3
161,tss,7181.156197826313,249038.95263512453,6401.595782500922,0.93812375249501,5991.161547559398,171869.87192045816,4213.569901994365,1.0,5170.6251913788155,129357.98293462694,2659.6522381381096,1.0,4598.5360147996935,101619.88611299559,1698.5425088562406,1.0,4168.220015269997,83975.81210424003,1542.0800243820793,1.0,pca_trans,5,100,10,0.1,3
162,hubers,5.225224570331479,0.022646538512847356,3.653515935874978,1.0,6.741221832054471,0.02560592403807101,4.3270896127139835,1.0,7.542118944977619,0.02398490126584432,5.040416949039415,1.0,7.989647414676401,0.024195705568513047,5.384743755447296,1.0,8.279604858305808,0.025968122934633266,5.586196378754232,1.0,min_max,2,100,10,0.5,0.5
163,norm,0.09645213678083363,5.7641262548745005e-05,0.08228392475679419,0.9680638722554891,0.09176649594168697,3.0301864320915383e-05,0.09006077768903915,0.6227544910179641,0.08468380722742645,1.859847885480297e-05,0.07973490366894143,0.8662674650698603,0.07754516514667663,1.562189966450227e-05,0.06913432853058515,0.9880239520958084,0.07127586174294359,1.3159055219798956e-05,0.06378871278917575,0.9880239520958084,min_max,2,100,10,0.5,0.5
164,tss,3755.362330505106,15762.206983488419,1408.0870209073064,1.0,3369.3764106067606,12717.86057412932,1088.7960008953592,1.0,3076.767897407547,10993.607692564647,867.8011107058317,1.0,2853.036035932173,10188.2392393743,703.7948619659371,1.0,2670.23034993917,9186.378740640454,580.369644513311,1.0,min_max,2,100,10,0.5,0.5
165,hubers,3.3722240334464115,0.018966621529362147,3.653515935874978,0.001996007984031936,4.453855322315581,0.010573275470593807,4.3270896127139835,0.8862275449101796,5.03453654539019,0.004455327166076697,5.040416949039415,0.5209580838323353,5.356872696564405,0.0032030642139321518,5.384743755447296,0.3213572854291417,5.556483292902197,0.003504359275829761,5.586196378754232,0.3333333333333333,random_order,2,100,10,0.5,0.5
166,norm,0.0801019780846523,8.855998624638228e-05,0.08228392475679419,0.3652694610778443,0.09396126970406837,7.319783508582238e-05,0.09006077768903915,0.6606786427145709,0.09079270619919629,4.976850876236815e-05,0.07973490366894143,0.93812375249501,0.0847741806169933,4.441939537149177e-05,0.06913432853058515,0.9920159680638723,0.07926138936437267,3.9429912980601525e-05,0.06378871278917575,0.998003992015968,random_order,2,100,10,0.5,0.5
167,tss,1884.5752631951882,855.6948800983768,1408.0870209073064,1.0,1671.418412839823,949.0361756323241,1088.7960008953592,1.0,1520.4868163391593,958.3154482707498,867.8011107058317,1.0,1410.1438119456982,951.7620504466774,703.7948619659371,1.0,1323.3810998587069,985.7527717146256,580.369644513311,1.0,random_order,2,100,10,0.5,0.5
168,hubers,3.605317833395946,0.048202549717014376,3.653515935874978,0.4251497005988024,4.6408951168323975,0.054377214880706404,4.3270896127139835,0.9101796407185628,5.107895919289607,0.06327038098483947,5.040416949039415,0.5968063872255489,5.3668457880493845,0.06686732069072948,5.384743755447296,0.4870259481037924,5.533046731743016,0.07121030112580107,5.586196378754232,0.42115768463073855,pca_trans,2,100,10,0.5,0.5
