,index,mc_type,fn,fp,tn,tp,sense
0,hubers,min_max,53,0,216,1,0.018518518518518517
1,hubers,pca_trans,44,3,213,10,0.18518518518518517
2,hubers,random_order,26,82,134,28,0.5185185185185185
3,norm,min_max,36,54,162,18,0.3333333333333333
4,norm,pca_trans,36,75,141,18,0.3333333333333333
5,norm,random_order,45,36,180,9,0.16666666666666666
6,tss,min_max,0,216,0,54,1.0
7,tss,pca_trans,36,67,149,18,0.3333333333333333
8,tss,random_order,0,215,1,54,1.0
